# theta, omega
0.000000000000000000e+00 2.878009218753979637e-02
8.680830764271327054e-04 1.626100962241718018e-02
1.736166152854265411e-03 9.370284245111902555e-03
2.604249229281398008e-03 7.227734166383462111e-03
3.472332305708530822e-03 6.098701450209333130e-03
4.340415382135663636e-03 5.233261673254996360e-03
5.208498458562796016e-03 4.490406479221015906e-03
6.076581534989929263e-03 3.848726434268295166e-03
6.944664611417061643e-03 3.308699398700709615e-03
7.812747687844194891e-03 2.864962114099596502e-03
8.680830764271327271e-03 2.503612380482798591e-03
9.548913840698459651e-03 2.207979692290206603e-03
1.041699691712559203e-02 1.960840686618257195e-03
1.128507999355272441e-02 1.749286773930982739e-03
1.215316306997985853e-02 1.565187383440335908e-03
1.302124614640699091e-02 1.403459520802546184e-03
1.388932922283412329e-02 1.261797123403628727e-03
1.475741229926125567e-02 1.138005266997739115e-03
1.562549537568838978e-02 1.029703541107649008e-03
1.649357845211552043e-02 9.346365341169129981e-04
1.736166152854265454e-02 8.501766106423953862e-04
1.822974460496978519e-02 7.745788245751023676e-04
1.909782768139691930e-02 7.066366637016189070e-04
1.996591075782405342e-02 6.454334761788332875e-04
2.083399383425118406e-02 5.906128277441673874e-04
2.170207691067831818e-02 5.414695295611893222e-04
2.257015998710544882e-02 4.973206413725192107e-04
2.343824306353258294e-02 4.575361810083746622e-04
2.430632613995971705e-02 4.213222082191736897e-04
2.517440921638684770e-02 3.883307751542273631e-04
2.604249229281398181e-02 3.582408454221408349e-04
2.691057536924111246e-02 3.308034474997626796e-04
2.777865844566824657e-02 3.059508565216072576e-04
2.864674152209538069e-02 2.833436963320999733e-04
2.951482459852251133e-02 2.627559410437005794e-04
3.038290767494964545e-02 2.439525749908723774e-04
3.125099075137677956e-02 2.266408040300933301e-04
3.211907382780390674e-02 2.107882379646034820e-04
3.298715690423104085e-02 1.962684972150888565e-04
3.385523998065817497e-02 1.830195994531769611e-04
3.472332305708530908e-02 1.710343583033121801e-04
3.559140613351244320e-02 1.601371812700671821e-04
3.645948920993957038e-02 1.502919224256799892e-04
3.732757228636670449e-02 1.414182804252667007e-04
3.819565536279383861e-02 1.334398212190841164e-04
3.906373843922097272e-02 1.264241824138158041e-04
3.993182151564810684e-02 1.203141612396163313e-04
4.079990459207523401e-02 1.151096751550201736e-04
4.166798766850236813e-02 1.107757862062446613e-04
4.253607074492950224e-02 1.071513958536584373e-04
4.340415382135663636e-02 1.041588426489638720e-04
4.427223689778377047e-02 1.016142394128294931e-04
4.514031997421089765e-02 9.933755999220464025e-05
4.600840305063803176e-02 9.719616303280808819e-05
4.687648612706516588e-02 9.494991652833498566e-05
4.774456920349229999e-02 9.244721390264305262e-05
4.861265227991943411e-02 8.952102028454754588e-05
4.948073535634656128e-02 8.600821232651698501e-05
5.034881843277369540e-02 8.188402658378069951e-05
5.121690150920082951e-02 7.710011781087095298e-05
5.208498458562796363e-02 7.170919933711602818e-05
5.295306766205509774e-02 6.582018657586799926e-05
5.382115073848222492e-02 5.950119648755452378e-05
5.468923381490935903e-02 5.291336128909176952e-05
5.555731689133649315e-02 4.617025052736073833e-05
5.642539996776362726e-02 3.938906876870554514e-05
5.729348304419076138e-02 3.273388162423467593e-05
5.816156612061788855e-02 2.628631992370128543e-05
5.902964919704502267e-02 2.016785347656993360e-05
5.989773227347215678e-02 1.445960100937858156e-05
6.076581534989929090e-02 9.181743068848347185e-06
6.163389842632642501e-02 4.394346494703655574e-06
6.250198150275355913e-02 8.047684148216553007e-08
6.337006457918069324e-02 -3.761716904605090939e-06
6.423814765560781348e-02 -7.122174929023961055e-06
6.510623073203494759e-02 -1.005157551556864863e-05
6.597431380846208171e-02 -1.254991778468174043e-05
6.684239688488921582e-02 -1.465920810880439623e-05
6.771047996131634994e-02 -1.643313739540253342e-05
6.857856303774348405e-02 -1.788327166177928551e-05
6.944664611417061817e-02 -1.907345419641681716e-05
7.031472919059775228e-02 -2.002249026787898017e-05
7.118281226702488640e-02 -2.074944995560303745e-05
7.205089534345202051e-02 -2.130334465954367162e-05
7.291897841987914075e-02 -2.168228372041535292e-05
7.378706149630627487e-02 -2.192751209557729621e-05
7.465514457273340898e-02 -2.206456676395431504e-05
7.552322764916054310e-02 -2.209391538021565778e-05
7.639131072558767721e-02 -2.205589741488242809e-05
7.725939380201481133e-02 -2.194257229424758293e-05
7.812747687844194544e-02 -2.176580744699403822e-05
7.899555995486907956e-02 -2.154883921276407770e-05
7.986364303129621367e-02 -2.127819090861870875e-05
8.073172610772334779e-02 -2.098399242056383785e-05
8.159980918415046802e-02 -2.066725039234386651e-05
8.246789226057760214e-02 -2.032421285950204861e-05
8.333597533700473625e-02 -1.997844065467741068e-05
8.420405841343187037e-02 -1.961099501992249149e-05
8.507214148985900448e-02 -1.923492456088602738e-05
8.594022456628613860e-02 -1.885839589746735761e-05
8.680830764271327271e-02 -1.846850240937546178e-05
8.767639071914040683e-02 -1.808961674415481661e-05
8.854447379556754094e-02 -1.771065214006564096e-05
8.941255687199467506e-02 -1.733181982112486666e-05
9.028063994842179529e-02 -1.696632778799054382e-05
9.114872302484892941e-02 -1.659458446359742375e-05
9.201680610127606352e-02 -1.623272153412034391e-05
9.288488917770319764e-02 -1.587907145919492690e-05
9.375297225413033175e-02 -1.552561389499777840e-05
9.462105533055746587e-02 -1.519098609392446718e-05
9.548913840698459998e-02 -1.485847513059825208e-05
9.635722148341173410e-02 -1.453353170558810851e-05
9.722530455983886821e-02 -1.422105645239492497e-05
9.809338763626600233e-02 -1.390514485670015505e-05
9.896147071269312256e-02 -1.360295195151749130e-05
9.982955378912025668e-02 -1.330596767575743455e-05
1.006976368655473908e-01 -1.301206955946028671e-05
1.015657199419745249e-01 -1.273363074345993526e-05
1.024338030184016590e-01 -1.245310061023991756e-05
1.033018860948287931e-01 -1.218054739406128735e-05
1.041699691712559273e-01 -1.191447001523707964e-05
1.050380522476830614e-01 -1.164499844032928041e-05
1.059061353241101955e-01 -1.138815298076484257e-05
1.067742184005373296e-01 -1.113169055842300098e-05
1.076423014769644498e-01 -1.087926936652359195e-05
1.085103845533915840e-01 -1.063716751397633314e-05
1.093784676298187181e-01 -1.039053128832564084e-05
1.102465507062458522e-01 -1.015233368805110361e-05
1.111146337826729863e-01 -9.916418451265420056e-06
1.119827168591001204e-01 -9.679431949872541115e-06
1.128507999355272545e-01 -9.454151150778133679e-06
1.137188830119543886e-01 -9.227172240416570411e-06
1.145869660883815228e-01 -9.006569799934862337e-06
1.154550491648086430e-01 -8.792915847267363105e-06
1.163231322412357771e-01 -8.575917880088076159e-06
1.171912153176629112e-01 -8.368999945251633110e-06
1.180592983940900453e-01 -8.162855225331922476e-06
1.189273814705171795e-01 -7.959744292835379834e-06
1.197954645469443136e-01 -7.767640616690510492e-06
1.206635476233714477e-01 -7.574051759739202329e-06
1.215316306997985818e-01 -7.389519729760857543e-06
1.223997137762257159e-01 -7.209752083440750122e-06
1.232677968526528500e-01 -7.029649652959164558e-06
1.241358799290799703e-01 -6.860752831993134398e-06
1.250039630055071183e-01 -6.692139664129131597e-06
1.258720460819342524e-01 -6.530101414883469554e-06
1.267401291583613865e-01 -6.377157282981057651e-06
1.276082122347885206e-01 -6.223286842764485889e-06
1.284762953112156270e-01 -6.079435611439883144e-06
1.293443783876427611e-01 -5.937699442228437386e-06
1.302124614640698952e-01 -5.797885763473509339e-06
1.310805445404970293e-01 -5.667965515990944838e-06
1.319486276169241634e-01 -5.537055348385369621e-06
1.328167106933512975e-01 -5.413833748415836184e-06
1.336847937697784316e-01 -5.295884945897840845e-06
1.345528768462055658e-01 -5.176933920318429067e-06
1.354209599226326999e-01 -5.066816344967876938e-06
1.362890429990598340e-01 -4.955856909015685064e-06
1.371571260754869681e-01 -4.848130577219642067e-06
1.380252091519141022e-01 -4.747429274155539556e-06
1.388932922283412363e-01 -4.644614068867903168e-06
1.397613753047683705e-01 -4.549271708425827259e-06
1.406294583811955046e-01 -4.455336297717943635e-06
1.414975414576226387e-01 -4.360863325757385401e-06
1.423656245340497728e-01 -4.273392493197942504e-06
1.432337076104769069e-01 -4.183210939548516520e-06
1.441017906869040410e-01 -4.097443123664159151e-06
1.449698737633311751e-01 -4.015739261105254383e-06
1.458379568397582815e-01 -3.931896858726737997e-06
1.467060399161854156e-01 -3.854979760052184637e-06
1.475741229926125497e-01 -3.776815643019314136e-06
1.484422060690396838e-01 -3.699565148400841728e-06
1.493102891454668180e-01 -3.627661888001754880e-06
1.501783722218939521e-01 -3.552751417416659264e-06
1.510464552983210862e-01 -3.483453642781901994e-06
1.519145383747482203e-01 -3.415838863499619444e-06
1.527826214511753544e-01 -3.347164452033607004e-06
1.536507045276024885e-01 -3.284682738031233421e-06
1.545187876040296227e-01 -3.219579587531260989e-06
1.553868706804567568e-01 -3.157157798849518607e-06
1.562549537568838909e-01 -3.098339022228164353e-06
1.571230368333110250e-01 -3.037046977341951800e-06
1.579911199097381591e-01 -2.981800265652923053e-06
1.588592029861652932e-01 -2.926093988525721619e-06
1.597272860625924273e-01 -2.870619263261476727e-06
1.605953691390195615e-01 -2.819978122531952090e-06
1.614634522154466956e-01 -2.766110266386767364e-06
1.623315352918738297e-01 -2.716226206780633100e-06
1.631996183683009360e-01 -2.667980905539897311e-06
1.640677014447280702e-01 -2.618166672996043826e-06
1.649357845211552043e-01 -2.573937704919228544e-06
1.658038675975823384e-01 -2.527544469362915712e-06
1.666719506740094725e-01 -2.482623549945665211e-06
1.675400337504366066e-01 -2.440765593540055091e-06
1.684081168268637407e-01 -2.395748553382360030e-06
1.692761999032908748e-01 -2.355318117170670888e-06
1.701442829797180090e-01 -2.314563233700078418e-06
1.710123660561451431e-01 -2.273280668846476102e-06
1.718804491325722772e-01 -2.236388854639645297e-06
1.727485322089994113e-01 -2.196270842841532682e-06
1.736166152854265454e-01 -2.158665437415704352e-06
1.744846983618536795e-01 -2.122283333140926367e-06
